Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
30	0	-15812.3	-15825.4	13.1745	0.132836	0.103872	0.0870084	0.0825534	0.105333	0.091577	0.133812	0.0939301	0.0973159	0.134705	0.0873559	0.0916237	0.0815823	0.104917	0.10147	0.128339	0.136337	0.147652	0.116876	0.0700564	0.0806198	0.0765814	0.16749	0.0209446	0.0400289	0.0260649	0.0398304	0.0228812	0.0227431	0.0226407	0.0540395	0.0527201	0.0347847	0.0378352	0.0322902	0.0936367	0.0268257	0.0437558	0.0255575	0.0351518	0.0418904	0.0193719	0.0246212	3.171457
31	1	-15805.5	-15818.4	12.9269	0.147107	0.075093	0.0833471	0.118725	0.117042	0.0642912	0.123965	0.0808685	0.102381	0.160159	0.0789389	0.0912013	0.084746	0.113611	0.102059	0.124067	0.118953	0.120396	0.128665	0.0757677	0.0954229	0.0898356	0.166507	0.0388532	0.032436	0.0358964	0.014678	0.0236067	0.0402064	0.0216273	0.0305553	0.0625892	0.0442865	0.0437753	0.0398684	0.0637698	0.0200106	0.0479008	0.0506466	0.0308006	0.0519694	0.024945	0.0146497	3.19622
32	0	-15801.9	-15814.8	12.9245	0.146481	0.0881731	0.104576	0.0667304	0.108894	0.0809655	0.107013	0.0858158	0.107919	0.164431	0.0840806	0.0870879	0.106332	0.0878483	0.100744	0.128339	0.122764	0.108194	0.112956	0.0705703	0.108897	0.0981386	0.18068	0.0259889	0.024289	0.0337143	0.050884	0.0463434	0.0195836	0.0318639	0.0486792	0.0443092	0.0231664	0.0349318	0.022082	0.0945082	0.0292542	0.0315413	0.0189645	0.048598	0.0445714	0.0261824	0.0393721	3.196457
33	1	-15807.4	-15819.5	12.1317	0.120171	0.0776394	0.101314	0.125436	0.107082	0.0936199	0.123965	0.0773197	0.11501	0.151384	0.0806549	0.0773578	0.115749	0.115222	0.122883	0.113536	0.136111	0.101409	0.111393	0.0704175	0.0987297	0.0847454	0.166507	0.0213177	0.0328751	0.0466045	0.0408737	0.0299882	0.0276355	0.0370474	0.0255388	0.0872665	0.0417625	0.0327613	0.0334063	0.0640285	0.0364365	0.0559097	0.0458521	0.0241146	0.0517924	0.0327089	0.0201626	3.275739
34	0	-15801.2	-15814.7	13.4312	0.154174	0.0959423	0.0887103	0.106245	0.104377	0.0808319	0.100929	0.0674703	0.104217	0.163091	0.0792026	0.0677902	0.0843271	0.0914482	0.113348	0.112633	0.138035	0.130163	0.140697	0.0825407	0.0892872	0.0769867	0.166392	0.0273609	0.027506	0.0280506	0.0474757	0.0405402	0.0247521	0.0169027	0.0451287	0.0387396	0.029699	0.0501654	0.0301293	0.0828386	0.0244589	0.0403508	0.0240476	0.0340194	0.0341091	0.0329072	0.0277666	3.145788
35	1	-15807.4	-15820.5	13.042	0.133541	0.126609	0.0878081	0.130993	0.107153	0.0840911	0.127381	0.0773197	0.103531	0.189814	0.0697647	0.0929155	0.100654	0.0818549	0.113423	0.121762	0.114166	0.0922709	0.117512	0.0767661	0.0746753	0.0649838	0.156957	0.0335681	0.0192977	0.0485399	0.0446313	0.014386	0.0211214	0.0325354	0.0251851	0.0868911	0.0350418	0.0302506	0.0328113	0.0694171	0.0160218	0.0526731	0.0562536	0.024181	0.0513673	0.0262866	0.0183039	3.184711
36	0	-15815.3	-15828.1	12.7573	0.16044	0.079243	0.0917858	0.0882866	0.0997372	0.0870239	0.121001	0.090115	0.106481	0.184553	0.0857907	0.0785148	0.0813842	0.0950091	0.106535	0.1396	0.144228	0.102411	0.125783	0.0756001	0.0787155	0.0700496	0.148632	0.0307066	0.0317041	0.0373697	0.0475287	0.0251261	0.0118838	0.0429243	0.0499725	0.0314872	0.0350109	0.0495272	0.0265002	0.0728156	0.0268557	0.0305111	0.0296787	0.0663667	0.0556588	0.0340464	0.0365851	3.213179
37	1	-15810	-15822.4	12.3893	0.125445	0.101532	0.0893673	0.111613	0.107153	0.108537	0.116245	0.0919485	0.100723	0.184688	0.0727691	0.0738044	0.0912933	0.0933801	0.114009	0.129454	0.122619	0.0967917	0.137851	0.0792615	0.0744782	0.110049	0.16184	0.0352087	0.0295167	0.0395383	0.0511413	0.0197189	0.0159407	0.0275273	0.0347082	0.0803234	0.023573	0.0484226	0.0216349	0.0509851	0.0336394	0.0544804	0.071791	0.027458	0.0428064	0.0265894	0.0201276	3.249982
38	0	-15813.3	-15824.8	11.4988	0.127733	0.0967426	0.107605	0.0967171	0.130166	0.0933554	0.0961785	0.0864859	0.0874018	0.148949	0.0927112	0.0829512	0.10206	0.104738	0.103816	0.1396	0.147925	0.134233	0.150869	0.0908795	0.0980959	0.0956279	0.194724	0.0300908	0.0329209	0.0316703	0.0712111	0.0294583	0.00957803	0.0173912	0.0367855	0.0502327	0.0289716	0.0431534	0.0301998	0.097728	0.0136729	0.0367179	0.0348411	0.044502	0.0371027	0.0165908	0.0366429	3.339028
39	1	-15806.5	-15819.5	13.0538	0.120633	0.102424	0.092337	0.0975148	0.0910541	0.0751133	0.0980113	0.0718922	0.109544	0.175131	0.0929884	0.0769892	0.102943	0.104618	0.0994481	0.117616	0.102406	0.114468	0.13743	0.0832939	0.0938794	0.0782846	0.162836	0.0299295	0.0332767	0.0542528	0.0176479	0.0222699	0.0367293	0.0391404	0.0475241	0.0696238	0.0319285	0.0402384	0.0269845	0.0634095	0.0321218	0.0455948	0.0688706	0.0367389	0.0412861	0.0310402	0.0140692	3.183533
