Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1930	-429.103	-415.372	-13.7309	594143.2	10.87114	0.998351	0.999578	1.00042	1.00165	3.542559
1940	-444.6	-423.243	-21.3569	19743.97	10.01984	0.990968	0.997675	1.0023	1.00906	4.353055
1950	-442.935	-425.365	-17.5699	845155.8	8.643753	0.998618	0.999647	1.00035	1.00138	4.075778
1960	-440.978	-420.647	-20.3312	675402.1	6.4176	0.998454	0.999605	1.00039	1.00155	4.457958
1970	-452.247	-434.131	-18.1169	737322	10.94391	0.99852	0.999622	1.00038	1.00148	3.938565
1980	-436.052	-421.008	-15.0444	933099.8	7.856227	0.998684	0.999664	1.00034	1.00132	3.781661
1990	-432.647	-419.199	-13.4473	427668.9	9.628476	0.998057	0.999503	1.0005	1.00194	3.580089
2000	-433.295	-421.026	-12.2682	94741.7	8.083313	0.995873	0.998942	1.00105	1.00413	3.44268
2010	-433.787	-416.747	-17.0394	466340.7	10.8674	0.998139	0.999524	1.00047	1.00186	3.847244
2020	-428.838	-413.867	-14.971	296171.9	6.395328	0.997665	0.999402	1.0006	1.00234	3.618099
2030	-429.048	-417.211	-11.8372	370192.3	8.648712	0.997912	0.999466	1.00053	1.00209	3.412681
2040	-430.724	-413.258	-17.4652	24316.63	8.112231	0.99186	0.997906	1.00207	1.00816	4.084869
2050	-434.332	-422.708	-11.6245	185740.8	7.607988	0.997052	0.999245	1.00075	1.00295	3.322794
2060	-441.917	-423.432	-18.4853	587425.8	6.621071	0.998342	0.999576	1.00042	1.00166	4.19159
2070	-430.427	-419.952	-10.4758	483312.1	8.921552	0.998172	0.999532	1.00047	1.00183	3.264482
2080	-440.195	-426.123	-14.0716	143459.4	6.596772	0.996646	0.999141	1.00086	1.00336	3.520319
2090	-431.756	-424.721	-7.0349	437490.4	9.428141	0.998079	0.999508	1.00049	1.00192	2.906684
2100	-441.501	-424.961	-16.5405	307593.6	7.063625	0.997709	0.999414	1.00058	1.00229	3.943393
